subtable dimension and name,96*1,,ax_jesd_configuration_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,10,,,,,,,,1,,1,,,0,,,0,4,,,1,,,0,0,1,,,,,0,0
34,,,6,,,,,,,,1,,1,,,0,,,0,4,,,2,,,1,0,0,,,,,0,1
35,,,6,,,,,,,,1,,1,,,0,,,0,4,,,2,,,1,0,0,,,,,0,0
36,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
37,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
38,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
39,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
40,,,17,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,31,,,,,0,1
41,,,15,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,23,,,,,1,1
42,,,17,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,31,,,,,0,0
43,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
44,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
45,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
46,,,11,,,,,,,,3,,2,,,1,,,0,1,,,4,,,0,0,11,,,,,1,1
47,,,11,,,,,,,,3,,2,,,1,,,0,1,,,4,,,0,0,11,,,,,1,1
48,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,0
49,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,0
50,,,13,,,,,,,,1,,4,,,1,,,0,1,,,2,,,0,0,19,,,,,0,0
51,,,15,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,23,,,,,0,1
52,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,1
53,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,1
54,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
55,,,14,,,,,,,,3,,2,,,1,,,0,8,,,1,,,0,0,5,,,,,1,1
56,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,0
57,,,13,,,,,,,,1,,4,,,1,,,0,2,,,2,,,0,1,19,,,,,0,0
58,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,0
59,,,13,,,,,,,,1,,4,,,1,,,0,2,,,2,,,0,1,19,,,,,0,0
60,,,15,,,,,,,,3,,2,,,1,,,0,2,,,2,,,0,1,23,,,,,0,1
61,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,1
62,,,12,,,,,,,,1,,1,,,0,,,0,2,,,2,,,0,1,15,,,,,0,1
63,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,1
64,,,12,,,,,,,,1,,1,,,0,,,0,2,,,2,,,0,1,15,,,,,0,1
65,,,11,,,,,,,,3,,2,,,1,,,0,4,,,4,,,0,0,2,,,,,1,1
66,,,11,,,,,,,,3,,2,,,1,,,0,4,,,4,,,0,0,2,,,,,1,1
67,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,0
68,,,13,,,,,,,,1,,4,,,1,,,0,4,,,2,,,0,0,4,,,,,0,0
69,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,1,1
70,,,12,,,,,,,,1,,1,,,0,,,0,4,,,2,,,0,0,3,,,,,0,0
71,,,13,,,,,,,,1,,4,,,1,,,0,8,,,1,,,0,0,4,,,,,0,0
72,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,0,1
73,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,1,1
74,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,1
75,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,1
76,,,12,,,,,,,,1,,1,,,0,,,0,4,,,2,,,0,0,3,,,,,0,1
77,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,0
78,,,13,,,,,,,,1,,4,,,1,,,0,8,,,2,,,0,1,4,,,,,0,0
79,,,11,,,,,,,,3,,2,,,1,,,0,8,,,2,,,0,0,2,,,,,1,1
80,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,0
81,,,13,,,,,,,,1,,4,,,1,,,0,8,,,2,,,0,1,4,,,,,0,0
82,,,11,,,,,,,,3,,2,,,1,,,0,8,,,2,,,0,0,2,,,,,1,1
83,,,10,,,,,,,,1,,1,,,0,,,0,8,,,2,,,0,0,1,,,,,0,1
84,,,9,,,,,,,,1,,1,,,0,,,0,8,,,4,,,1,0,0,,,,,0,0
85,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
86,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
87,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
88,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
89,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
90,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
91,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
92,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
93,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
94,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
95,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
