0x01e28000, syscon_evc_agc
0x01e30000, syscon_ifs_fc_apb
0x01f00000, syscon_cs_soc_apbrom_apb4_slave_0_mm
0x01f10000, syscon_cs_soc_apbap_apb4_slave_0_mm
0x01f20000, syscon_cs_soc_axiap_apb4_slave_0_mm
0x01f80000, syscon_fuse_client_apb
0x01f82000, syscon_fuse_client_ecm
0x02000000, vexa_abcnoc_rbc_rbm_0x00000000
0x02000400, vexa_abcnoc_jesd_0_p0_0x00000400
0x02000800, vexa_abcnoc_jesd_0_p1_0x00000800
0x02000c00, vexa_abcnoc_jesd_1_p0_0x00000c00
0x02001000, vexa_abcnoc_jesd_1_p1_0x00001000
0x02001400, vexa_abcnoc_rcs_0_p0_0x00001400
0x02001800, vexa_abcnoc_rxfb_0_p0_0x00001800
0x02001c00, vexa_abcnoc_rxfb_0_p1_0x00001c00
0x02002000, vexa_abcnoc_rxfb_1_p0_0x00002000
0x02002400, vexa_abcnoc_rxfb_1_p1_0x00002400
0x02002800, vexa_abcnoc_v2d_0_p0_0x00002800
0x02002c00, vexa_abcnoc_v2d_0_p1_0x00002c00
0x02003000, vexa_abcnoc_v2d_0_p2_0x00003000
0x02003400, vexa_abcnoc_v2d_0_p3_0x00003400
0x02003800, vexa_abcnoc_v2d_1_p0_0x00003800
0x02003c00, vexa_abcnoc_v2d_1_p1_0x00003c00
0x02004000, vexa_abcnoc_v2d_1_p2_0x00004000
0x02004400, vexa_abcnoc_v2d_1_p3_0x00004400
0x02004800, vexa_abcnoc_v2d_2_p0_0x00004800
0x02004c00, vexa_abcnoc_v2d_2_p1_0x00004c00
0x02005000, vexa_abcnoc_v2d_2_p2_0x00005000
0x02005400, vexa_abcnoc_v2d_2_p3_0x00005400
0x02005800, vexa_abcnoc_v2d_3_p0_0x00005800
0x02005c00, vexa_abcnoc_v2d_3_p1_0x00005c00
0x02006000, vexa_abcnoc_v2d_3_p2_0x00006000
0x02006400, vexa_abcnoc_v2d_3_p3_0x00006400
0x02006800, vexa_abcnoc_v2d_4_p0_0x00006800
0x02006c00, vexa_abcnoc_v2d_4_p1_0x00006c00
0x02007000, vexa_abcnoc_v2d_4_p2_0x00007000
0x02007400, vexa_abcnoc_v2d_4_p3_0x00007400
0x02007800, vexa_abcnoc_v2d_5_p0_0x00007800
0x02007c00, vexa_abcnoc_v2d_5_p1_0x00007c00
0x02008000, vexa_abcnoc_v2d_5_p2_0x00008000
0x02008400, vexa_abcnoc_v2d_5_p3_0x00008400
0x02008800, vexa_abcnoc_v2d_6_p0_0x00008800
0x02008c00, vexa_abcnoc_v2d_6_p1_0x00008c00
0x02009000, vexa_abcnoc_v2d_6_p2_0x00009000
0x02009400, vexa_abcnoc_v2d_6_p3_0x00009400
0x02009800, vexa_abcnoc_v2d_7_p0_0x00009800
0x02009c00, vexa_abcnoc_v2d_7_p1_0x00009c00
0x0200a000, vexa_abcnoc_v2d_7_p2_0x0000a000
0x0200a400, vexa_abcnoc_v2d_7_p3_0x0000a400
0x0200a800, vexa_abcnoc_ve_0_0_p0_0x0000a800
0x0200ac00, vexa_abcnoc_ve_0_1_p0_0x0000ac00
0x0200b000, vexa_abcnoc_ve_0_2_p0_0x0000b000
0x0200b400, vexa_abcnoc_ve_0_3_p0_0x0000b400
0x0200b800, vexa_abcnoc_ve_0_4_p0_0x0000b800
0x0200bc00, vexa_abcnoc_ve_0_5_p0_0x0000bc00
0x0200c000, vexa_abcnoc_ve_0_6_p0_0x0000c000
0x0200c400, vexa_abcnoc_ve_0_7_p0_0x0000c400
0x0200c800, vexa_abcnoc_ve_1_0_p0_0x0000c800
0x0200cc00, vexa_abcnoc_ve_1_1_p0_0x0000cc00
0x0200d000, vexa_abcnoc_ve_1_2_p0_0x0000d000
0x0200d400, vexa_abcnoc_ve_1_3_p0_0x0000d400
0x0200d800, vexa_abcnoc_ve_1_4_p0_0x0000d800
0x0200dc00, vexa_abcnoc_ve_1_5_p0_0x0000dc00
0x0200e000, vexa_abcnoc_ve_1_6_p0_0x0000e000
0x0200e400, vexa_abcnoc_ve_1_7_p0_0x0000e400
0x0200e800, vexa_abcnoc_ve_2_0_p0_0x0000e800
0x0200ec00, vexa_abcnoc_ve_2_1_p0_0x0000ec00
0x0200f000, vexa_abcnoc_ve_2_2_p0_0x0000f000
0x0200f400, vexa_abcnoc_ve_2_3_p0_0x0000f400
0x0200f800, vexa_abcnoc_ve_2_4_p0_0x0000f800
0x0200fc00, vexa_abcnoc_ve_2_5_p0_0x0000fc00
0x02010000, vexa_abcnoc_ve_2_6_p0_0x00010000
0x02010400, vexa_abcnoc_ve_2_7_p0_0x00010400
0x02010800, vexa_abcnoc_ve_3_0_p0_0x00010800
0x02010c00, vexa_abcnoc_ve_3_1_p0_0x00010c00
0x02011000, vexa_abcnoc_ve_3_2_p0_0x00011000
0x02011400, vexa_abcnoc_ve_3_3_p0_0x00011400
0x02011800, vexa_abcnoc_ve_3_4_p0_0x00011800
0x02011c00, vexa_abcnoc_ve_3_5_p0_0x00011c00
0x02012000, vexa_abcnoc_ve_3_6_p0_0x00012000
0x02012400, vexa_abcnoc_ve_3_7_p0_0x00012400
0x02012800, vexa_abcnoc_ve_4_0_p0_0x00012800
0x02012c00, vexa_abcnoc_ve_4_1_p0_0x00012c00
0x02013000, vexa_abcnoc_ve_4_2_p0_0x00013000
0x02013400, vexa_abcnoc_ve_4_3_p0_0x00013400
0x02013800, vexa_abcnoc_ve_4_4_p0_0x00013800
0x02013c00, vexa_abcnoc_ve_4_5_p0_0x00013c00
0x02014000, vexa_abcnoc_ve_4_6_p0_0x00014000
0x02014400, vexa_abcnoc_ve_4_7_p0_0x00014400
0x02014800, vexa_abcnoc_vha_0_p0_0x00014800
0x02014c00, vexa_abcnoc_vha_0_p1_0x00014c00
0x02015000, vexa_abcnoc_vha_1_p0_0x00015000
0x02015400, vexa_abcnoc_vha_1_p1_0x00015400
0x02015800, vexa_abcnoc_vha_2_p0_0x00015800
0x02015c00, vexa_abcnoc_vha_2_p1_0x00015c00
0x02016000, vexa_abcnoc_vha_3_p0_0x00016000
0x02016400, vexa_abcnoc_vha_3_p1_0x00016400
0x02016800, vexa_abcnoc_vha_4_p0_0x00016800
0x02016c00, vexa_abcnoc_vha_4_p1_0x00016c00
0x02017000, vexa_abcnoc_vha_5_p0_0x00017000
0x02017400, vexa_abcnoc_vha_5_p1_0x00017400
0x02017800, vexa_abcnoc_vha_6_p0_0x00017800
0x02017c00, vexa_abcnoc_vha_6_p1_0x00017c00
0x02018000, vexa_abcnoc_vha_7_p0_0x00018000
0x02018400, vexa_abcnoc_vha_7_p1_0x00018400
0x02018800, vexa_abcnoc_rbc_0x00018800
0x02408000, vexa_car
0x02800000, vexabc0_sc_ve32_cell
0x02801000, vexabc0_c2s_cio2strm
0x02802000, vexabc0_s2c_strm2cio
0x02803000, vexabc0_tm_ve32_tile_timer
